raw_person	canonical_person	reason	confidence	document_count	total_words	first_date	last_date	processes	collections
Сталин	Сталин	manual_variant	high	520	1301164	1929-01-07T12:28:46	1937-12-10T21:47:47	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.
Ежов	Ежов	manual_variant	high	466	1208646	1929-01-07T12:28:46	1937-07-19T13:17:20	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА
Г.Г. Ягоды	Ягода	initials_plus_manual_variant	high	145	363630	1933-01-03T16:17:55	1936-09-23T03:36:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА
Ольберг	Ольберг	manual_variant	high	94	109527	1929-01-01T19:48:38	2022-10-26T13:25:08	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | СТАТЬИ	МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | СТАТЬИ
Седов	Седов	manual_variant	high	78	27106	1930-02-24T08:28:45	1935-05-04T13:22:48	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ТРОЦКИЙ	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ТРОЦКИЙ
Агранов	Агранов	manual_variant	high	74	121408	1933-03-03T06:43:32	1937-04-15T18:24:57	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ
Бухарин	Бухарин	manual_variant	high	73	264132	1932-10-07T14:58:02	1938-03-13T08:08:24	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	БУХАРИН | МАТЕРИАЛЫ СЛЕДСТВИЯ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.
Зиновьев	Зиновьев	manual_variant	high	50	95445	1928-06-30T07:57:59	1937-07-14T13:17:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА | СПРАВКИ КПК И ИМЛ
Л.В. Николаева	Николаева	initials_stripped_unreviewed	medium	43	18345	1934-12-03T13:20:38	1934-12-25T00:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Прокофьева	Прокофьева	initials_stripped_unreviewed	medium	33	66272	1936-02-23T01:42:00	1936-05-20T02:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
Г.И. Сафарова	Сафарова	initials_stripped_unreviewed	medium	32	21611	1934-12-16T05:00:00	1935-08-17T13:16:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Д. Троцкому	Троцкий	initials_plus_manual_variant	high	28	19398	1930-01-10T08:19:39	1933-01-16T12:21:40	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ТРОЦКИЙ	ДРУГИЕ ДОКУМЕНТЫ | ОЛЬБЕРГ | ТРОЦКИЙ
Каменев	Каменев	manual_variant	high	26	38366	1932-10-09T09:44:57	1936-08-14T08:10:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Радек	Радек	manual_variant	high	25	68919	1929-07-10T11:11:00	1937-04-26T19:01:55	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Пятаков	Пятаков	manual_variant	high	22	53048	1928-02-28T12:46:32	1937-01-18T22:31:44	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.В. Цетлина	Цетлина	initials_stripped_unreviewed	medium	20	22781	1933-03-04T15:56:45	1936-12-22T00:29:00	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Рыков	Рыков	manual_variant	high	18	132826	1936-08-19T22:12:49	1937-07-19T13:17:20	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.
Сокольников	Сокольников	manual_variant	high	18	28690	1934-12-23T00:00:00	1937-02-04T10:49:23	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	БУХАРИН | МАТЕРИАЛЫ СЛЕДСТВИЯ
Дмитриев	Дмитриев	identity_unreviewed	low	17	22493	1934-12-24T05:00:00	1936-09-14T02:36:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.А. Розенфельд	Розенфельд	initials_stripped_unreviewed	medium	16	13198	1935-02-12T05:35:00	1935-04-27T00:10:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Членов	Членов	identity_unreviewed	low	14	12991	1927-12-18T07:56:18	1937-03-07T15:27:20	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Евдокимова	Евдокимова	initials_stripped_unreviewed	medium	14	13224	1934-12-14T02:00:00	1936-08-14T04:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Балицкого	Балицкого	initials_stripped_unreviewed	medium	13	9204	1935-12-05T02:28:10	1936-09-20T16:59:17	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.К. Мухановой	Мухановой	initials_stripped_unreviewed	medium	13	14945	1935-02-10T01:00:00	1935-04-27T00:10:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Бакаева	Бакаева	initials_stripped_unreviewed	medium	13	19263	1934-12-14T01:00:00	1936-08-14T06:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Котолынова	Котолынова	initials_stripped_unreviewed	medium	13	3519	1934-12-06T06:01:00	1934-12-26T00:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Г. Ягоде	Ягода	initials_plus_manual_variant	high	12	13575	1933-02-12T09:57:30	1936-09-14T02:36:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Г.Б. Синани-	Синани-Скалов	truncation_candidate	high	12	24002	1933-06-04T11:39:19	1936-04-25T14:02:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Г.Б. СИНАНИ-СКАЛОВ | МАТЕРИАЛЫ СЛЕДСТВИЯ
И.С. Горшенина	Горшенина	initials_stripped_unreviewed	medium	12	8513	1934-12-14T04:00:00	1935-01-20T01:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Анишева	Анишева	initials_stripped_unreviewed	medium	12	8055	1934-12-27T04:00:00	1935-01-11T01:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.М. Кагановичу	Каганович	initials_plus_manual_variant	high	11	8913	1932-10-04T15:20:04	1937-01-30T13:02:35	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.К. Чернявского	Чернявского	initials_stripped_unreviewed	medium	11	14760	1935-03-06T00:32:00	1935-04-17T05:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.М. Харитонова	Харитонова	initials_stripped_unreviewed	medium	11	4923	1934-12-22T06:00:00	1935-03-12T11:01:21	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.В. Голубенко	Голубенко	initials_stripped_unreviewed	medium	11	17948	1936-08-09T00:10:00	1936-10-16T22:00:10	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Смирнов	Смирнов	identity_unreviewed	low	10	33838	1929-07-11T12:33:25	1936-08-23T18:39:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.С. Антонова	Антонова	initials_stripped_unreviewed	medium	10	1860	1934-12-09T05:11:00	1934-12-22T01:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Румянцева	Румянцева	initials_stripped_unreviewed	medium	10	4646	1934-12-09T00:12:00	1934-12-20T02:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Рейнгольда	Рейнгольда	initials_stripped_unreviewed	medium	10	21657	1934-12-18T09:00:00	1936-08-16T00:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.А. Николаева	Николаева	initials_stripped_unreviewed	medium	10	6257	1934-12-03T01:41:43	1934-12-14T01:20:46	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДЕЛО ПЕТРА НИКОЛАЕВА
Киров	Киров	manual_variant	high	9	3061	1934-12-14T05:00:00	1935-04-18T00:22:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.К. Муханова	Муханова	initials_stripped_unreviewed	medium	9	6855	1935-03-08T03:00:00	1935-04-09T01:05:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Барута	Барута	initials_stripped_unreviewed	medium	9	5881	1935-02-26T03:00:00	1935-03-26T01:30:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Т.И. Глебовой	Глебовой	initials_stripped_unreviewed	medium	9	12357	1933-04-01T11:54:30	1936-11-09T18:39:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Л. Браво	Браво	initials_stripped_unreviewed	medium	9	5415	1934-12-15T07:00:00	1935-01-10T01:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Н. Яковлева	Яковлева	initials_stripped_unreviewed	medium	9	8431	1935-01-01T06:00:00	1936-10-01T18:30:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Ф. Попова	Попова	initials_stripped_unreviewed	medium	9	2118	1934-12-15T00:00:00	1935-01-04T04:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Звездова	Звездова	initials_stripped_unreviewed	medium	9	5421	1934-12-09T04:06:00	1934-12-23T02:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.А. Нырчука	Нырчука	initials_stripped_unreviewed	medium	8	7526	1935-10-10T18:52:00	1936-03-23T02:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Мухина	Мухина	initials_stripped_unreviewed	medium	8	6291	1935-10-22T19:01:00	1936-01-07T00:04:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Енукидзе	Енукидзе	initials_stripped_unreviewed	medium	8	10998	1934-12-28T15:35:39	1935-08-26T13:51:45	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Гертика	Гертика	initials_stripped_unreviewed	medium	8	5429	1934-12-10T00:22:00	1936-09-01T02:36:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Н. Сахова	Сахова	initials_stripped_unreviewed	medium	8	9911	1934-12-30T04:00:00	1936-08-18T15:07:46	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Ф. Федорова	Федорова	initials_stripped_unreviewed	medium	8	5122	1934-12-18T02:00:00	1935-01-13T06:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Тарасова	Тарасова	initials_stripped_unreviewed	medium	8	4332	1934-12-19T04:00:00	1935-01-07T09:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.С. Левина	Левина	initials_stripped_unreviewed	medium	8	2629	1934-12-13T07:15:00	1934-12-21T00:03:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Толмазова	Толмазова	initials_stripped_unreviewed	medium	8	2198	1934-12-11T06:22:00	1934-12-17T05:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Астров	Астров	identity_unreviewed	low	8	26892	1933-02-16T13:53:46	1937-02-16T09:59:48	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	БУХАРИН | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
С.М. Гессена	Гессена	initials_stripped_unreviewed	medium	7	6807	1934-12-15T06:00:00	1937-07-14T13:17:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
